2019-09-09-19-33-21.884261 60 0 0 0
2019-09-09-19-33-22.050077 71 0 0 0
2019-09-09-19-33-22.091488 76 0 0 0
2019-09-09-19-33-22.141565 68 0 0 0
2019-09-09-19-33-22.191606 55 0 0 0
2019-09-09-19-33-22.240058 -13 0 0 0
2019-09-09-19-33-22.291401 4 0 0 0
2019-09-09-19-33-22.338323 7 0 0 0
2019-09-09-19-33-22.384269 27 0 0 0
2019-09-09-19-33-22.434549 42 0 0 0
2019-09-09-19-33-22.488400 -24 0 0 0
2019-09-09-19-33-22.537811 25 0 0 0
2019-09-09-19-33-22.585531 41 0 0 0
2019-09-09-19-33-22.635773 -8 0 0 0
2019-09-09-19-33-22.685693 65 0 0 0
2019-09-09-19-33-22.739118 36 0 0 0
2019-09-09-19-33-22.786822 20 0 0 0
2019-09-09-19-33-22.837517 43 0 0 0
2019-09-09-19-33-22.889841 22 0 0 0
2019-09-09-19-33-22.938362 26 0 0 0
2019-09-09-19-33-22.984311 28 0 0 0
2019-09-09-19-33-23.038349 28 0 0 0
2019-09-09-19-33-23.100128 25 0 0 0
2019-09-09-19-33-23.154030 25 0 0 0
2019-09-09-19-33-23.203791 66 0 0 0
2019-09-09-19-33-23.253009 36 0 0 0
2019-09-09-19-33-23.304832 98 0 0 0
2019-09-09-19-33-23.355645 35 0 0 0
2019-09-09-19-33-23.400864 26 0 0 0
2019-09-09-19-33-23.452736 54 0 0 0
2019-09-09-19-33-23.505349 -44 0 0 0
2019-09-09-19-33-23.552460 12 0 0 0
2019-09-09-19-33-23.605358 36 0 0 0
2019-09-09-19-33-23.651459 58 0 0 0
2019-09-09-19-33-23.702365 24 0 0 0
2019-09-09-19-33-23.754745 -3 0 0 0
2019-09-09-19-33-23.800221 9 0 0 0
2019-09-09-19-33-23.853892 41 0 0 0
2019-09-09-19-33-23.904882 19 0 0 0
2019-09-09-19-33-23.954758 88 0 0 0
2019-09-09-19-33-24.005858 36 0 0 0
2019-09-09-19-33-24.052397 33 0 0 0
2019-09-09-19-33-24.105088 50 0 0 0
2019-09-09-19-33-24.154723 10 0 0 0
2019-09-09-19-33-24.204299 4 0 0 0
2019-09-09-19-33-24.257094 35 0 0 0
2019-09-09-19-33-24.301400 29 0 0 0
2019-09-09-19-33-24.354185 0 0 0 0
2019-09-09-19-33-24.404525 83 0 0 0
2019-09-09-19-33-24.454827 22 0 0 0
2019-09-09-19-33-24.502221 36 0 0 0
2019-09-09-19-33-24.550748 21 0 0 0
2019-09-09-19-33-24.623595 53 0 0 0
2019-09-09-19-33-24.670130 33 0 0 0
2019-09-09-19-33-24.720093 36 30 51 0
2019-09-09-19-33-24.767632 0 30 51 0
2019-09-09-19-33-24.820980 0 30 51 0
2019-09-09-19-33-24.869450 49 30 51 0
2019-09-09-19-33-24.917779 20 30 51 0
2019-09-09-19-33-24.970041 -27 30 51 0
2019-09-09-19-33-25.019317 19 30 51 0
2019-09-09-19-33-25.071287 36 30 51 0
2019-09-09-19-33-25.122255 60 30 51 0
2019-09-09-19-33-25.172225 45 30 51 0
2019-09-09-19-33-25.220882 52 30 51 0
2019-09-09-19-33-25.272581 1 30 51 0
2019-09-09-19-33-25.316968 27 30 51 0
2019-09-09-19-33-25.371607 27 30 51 0
2019-09-09-19-33-25.416718 16 30 51 0
2019-09-09-19-33-25.467725 75 30 51 0
2019-09-09-19-33-25.519480 43 30 51 0
2019-09-09-19-33-25.568017 37 30 51 0
2019-09-09-19-33-25.620698 54 30 51 0
2019-09-09-19-33-25.672247 43 30 51 0
2019-09-09-19-33-25.724210 13 54 54 0
2019-09-09-19-33-25.769315 -4 54 54 0
2019-09-09-19-33-25.819921 -33 54 54 0
2019-09-09-19-33-25.872467 -11 54 54 0
2019-09-09-19-33-25.917198 48 54 54 0
2019-09-09-19-33-25.969098 10 54 54 0
2019-09-09-19-33-26.019724 10 54 54 0
2019-09-09-19-33-26.071852 6 54 54 0
2019-09-09-19-33-26.118881 171 54 54 0
2019-09-09-19-33-26.168182 279 54 54 0
2019-09-09-19-33-26.220107 -54 54 54 0
2019-09-09-19-33-26.270340 -188 54 54 0
2019-09-09-19-33-26.317702 -40 54 54 0
2019-09-09-19-33-26.369088 0 54 54 0
2019-09-09-19-33-26.422355 71 54 54 0
2019-09-09-19-33-26.471782 53 54 54 0
2019-09-09-19-33-26.522338 66 54 54 0
2019-09-09-19-33-26.570636 44 54 54 0
2019-09-09-19-33-26.616767 51 54 54 0
2019-09-09-19-33-26.671353 35 54 54 0
2019-09-09-19-33-26.719956 39 37 54 0
